"행정구역","2019년01월_남_총인구수","2019년01월_남_연령구간인구수","2019년01월_남_0~9세","2019년01월_남_10~19세","2019년01월_남_20~29세","2019년01월_남_30~39세","2019년01월_남_40~49세","2019년01월_남_50~59세","2019년01월_남_60~69세","2019년01월_남_70~79세","2019년01월_남_80~89세","2019년01월_남_90~99세","2019년01월_남_100세 이상","2019년01월_여_총인구수","2019년01월_여_연령구간인구수","2019년01월_여_0~9세","2019년01월_여_10~19세","2019년01월_여_20~29세","2019년01월_여_30~39세","2019년01월_여_40~49세","2019년01월_여_50~59세","2019년01월_여_60~69세","2019년01월_여_70~79세","2019년01월_여_80~89세","2019년01월_여_90~99세","2019년01월_여_100세 이상"
"서울특별시  (1100000000)","4,772,822","4,772,822","352,429","438,879","715,764","772,697","788,829","757,138","543,039","302,828","90,347","9,398","1,474","4,993,466","4,993,466","334,935","413,519","734,541","772,798","800,393","790,863","603,892","359,950","150,899","27,271","4,405"
"서울특별시 종로구 (1111000000)","74,700","74,700","4,331","6,217","11,887","10,506","11,555","12,947","9,184","5,587","2,078","333","75","78,166","78,166","4,204","6,087","11,838","10,666","12,191","12,838","9,429","6,950","3,173","632","158"
"서울특별시 종로구 청운효자동(1111051500)","6,109","6,109","489","732","812","871","1,028","942","575","437","186","34","3","6,921","6,921","462","620","828","1,016","1,289","1,045","732","600","275","41","13"
"서울특별시 종로구 사직동(1111053000)","4,322","4,322","337","368","543","620","700","692","504","350","176","29","3","5,260","5,260","331","409","640","811","872","841","608","440","245","49","14"
"서울특별시 종로구 삼청동(1111054000)","1,333","1,333","65","126","172","200","198","208","186","121","47","10","0","1,497","1,497","71","91","175","221","194","248","211","172","92","15","7"
"서울특별시 종로구 부암동(1111055000)","4,856","4,856","318","496","771","611","750","797","568","364","161","17","3","5,306","5,306","292","454","658","705","907","912","664","449","205","53","7"
"서울특별시 종로구 평창동(1111056000)","8,862","8,862","612","983","1,398","1,080","1,280","1,533","1,057","611","265","33","10","10,039","10,039","608","910","1,286","1,260","1,634","1,798","1,184","800","424","120","15"
"서울특별시 종로구 무악동(1111057000)","3,864","3,864","314","474","421","425","760","663","421","249","113","14","10","4,370","4,370","370","535","496","481","799","654","494","356","151","29","5"
"서울특별시 종로구 교남동(1111058000)","4,992","4,992","480","408","632","911","903","752","489","296","101","15","5","5,717","5,717","452","465","739","1,008","999","805","633","419","161","28","8"
"서울특별시 종로구 가회동(1111060000)","2,069","2,069","118","187","247","296","364","352","248","182","65","8","2","2,356","2,356","109","186","263","314","422","378","294","260","94","31","5"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","4,378","4,378","132","121","466","541","592","970","888","468","152","37","11","2,992","2,992","100","127","454","397","369","460","476","359","177","50","23"
"서울특별시 종로구 종로5.6가동(1111063000)","2,836","2,836","65","151","523","365","396","577","394","270","76","17","2","2,370","2,370","64","146","421","262","300","442","320","265","117","28","5"
"서울특별시 종로구 이화동(1111064000)","3,835","3,835","159","253","832","676","549","568","430","261","91","14","2","4,258","4,258","152","254","954","707","542","601","467","365","178","28","10"
"서울특별시 종로구 혜화동(1111065000)","8,254","8,254","392","705","2,239","1,203","1,157","1,092","710","522","208","20","6","8,753","8,753","409","711","2,097","1,123","1,238","1,204","813","752","345","50","11"
"서울특별시 종로구 창신제1동(1111067000)","2,899","2,899","91","150","348","331","399","684","540","267","73","16","0","2,440","2,440","91","144","287","233","356","502","413","283","102","23","6"
"서울특별시 종로구 창신제2동(1111068000)","4,483","4,483","167","306","696","549","721","958","610","349","107","19","1","4,294","4,294","148","302","596","413","623","896","655","453","175","23","10"
"서울특별시 종로구 창신제3동(1111069000)","3,558","3,558","239","308","544","521","503","649","451","236","82","16","9","3,671","3,671","203","300","507","549","546","665","441","299","138","21","2"
"서울특별시 종로구 숭인제1동(1111070000)","3,142","3,142","172","222","447","493","525","566","401","222","78","14","2","3,224","3,224","173","223","418","423","481","601","446","302","132","19","6"
"서울특별시 종로구 숭인제2동(1111071000)","4,908","4,908","181","227","796","813","730","944","712","382","97","20","6","4,698","4,698","169","210","1,019","743","620","786","578","376","162","24","11"
"서울특별시 중구 (1114000000)","62,025","62,025","3,807","3,914","8,942","10,433","9,742","10,739","8,136","4,516","1,514","227","55","63,847","63,847","3,783","3,761","9,335","10,328","9,203","10,288","8,254","5,574","2,699","496","126"
"서울특별시 중구 소공동(1114052000)","993","993","100","35","80","232","216","141","118","53","14","3","1","1,039","1,039","96","74","128","235","203","123","99","51","20","8","2"
"서울특별시 중구 회현동(1114054000)","2,921","2,921","116","93","251","305","423","672","612","287","108","40","14","2,440","2,440","104","108","305","286","319","417","423","275","140","42","21"
"서울특별시 중구 명동(1114055000)","1,196","1,196","63","44","138","172","192","214","218","116","29","8","2","1,613","1,613","52","64","138","204","270","274","308","182","97","19","5"
"서울특별시 중구 필동(1114057000)","2,092","2,092","116","104","343","349","308","348","295","162","55","9","3","1,907","1,907","101","88","299","295","211","304","279","184","108","32","6"
"서울특별시 중구 장충동(1114058000)","2,413","2,413","104","162","651","374","342","304","246","162","61","7","0","2,322","2,322","99","174","516","332","292","317","263","210","100","16","3"
"서울특별시 중구 광희동(1114059000)","2,617","2,617","79","117","372","386","353","519","450","242","81","13","5","2,323","2,323","76","106","355","324","289","386","402","254","104","19","8"
"서울특별시 중구 을지로동(1114060500)","1,071","1,071","25","20","99","135","129","258","258","102","35","6","4","663","663","20","18","111","90","65","105","109","88","41","11","5"
"서울특별시 중구 신당동(1114061500)","3,881","3,881","113","211","651","680","658","716","472","272","90","15","3","3,852","3,852","162","174","725","602","556","673","445","346","137","27","5"
"서울특별시 중구 다산동(1114062500)","7,120","7,120","345","538","1,144","1,258","1,112","1,160","839","562","145","14","3","7,514","7,514","322","466","1,217","1,146","1,145","1,219","1,013","669","261","46","10"
"서울특별시 중구 약수동(1114063500)","8,380","8,380","639","572","1,065","1,301","1,325","1,370","1,153","671","250","28","6","9,381","9,381","679","529","1,057","1,471","1,331","1,531","1,341","873","478","82","9"
